From	Entry	Entry Name	Protein names	Gene Names	Organism	Length
DDX21_MOUSE	Q9JIK5	DDX21_MOUSE	Nucleolar RNA helicase 2 (EC 3.6.4.13) (DEAD box protein 21) (Gu-alpha) (Nucleolar RNA helicase Gu) (Nucleolar RNA helicase II) (RH II/Gu)	Ddx21	Mus musculus (Mouse)	851
DDX5_MOUSE	Q61656	DDX5_MOUSE	Probable ATP-dependent RNA helicase DDX5 (EC 3.6.4.13) (DEAD box RNA helicase DEAD1) (mDEAD1) (DEAD box protein 5) (RNA helicase p68)	Ddx5 Tnz2	Mus musculus (Mouse)	614
LEG1_MOUSE	P16045	LEG1_MOUSE	Galectin-1 (Gal-1) (14 kDa lectin) (Beta-galactoside-binding lectin L-14-I) (Galaptin) (Lactose-binding lectin 1) (Lectin galactoside-binding soluble 1) (S-Lac lectin 1)	Lgals1 Gbp	Mus musculus (Mouse)	135
NDUS1_MOUSE	Q91VD9	NDUS1_MOUSE	NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial (EC 7.1.1.2) (Complex I-75kD) (CI-75kD)	Ndufs1	Mus musculus (Mouse)	727
PABP1_MOUSE	P29341	PABP1_MOUSE	Polyadenylate-binding protein 1 (PABP-1) (Poly(A)-binding protein 1)	Pabpc1 Pabp1	Mus musculus (Mouse)	636
PRP8_MOUSE	Q99PV0	PRP8_MOUSE	Pre-mRNA-processing-splicing factor 8 (Splicing factor Prp8)	Prpf8 Prp8	Mus musculus (Mouse)	2335
ROA3_MOUSE	Q8BG05	ROA3_MOUSE	Heterogeneous nuclear ribonucleoprotein A3 (hnRNP A3)	Hnrnpa3 Hnrpa3	Mus musculus (Mouse)	379
RS3A_MOUSE	P97351	RS3A_MOUSE	Small ribosomal subunit protein eS1 (40S ribosomal protein S3a) (Protein TU-11)	Rps3a Rps3a1	Mus musculus (Mouse)	264
TCPB_MOUSE	P80314	TCPB_MOUSE	T-complex protein 1 subunit beta (TCP-1-beta) (CCT-beta)	Cct2 Cctb	Mus musculus (Mouse)	535
COCA1_MOUSE	Q60847	COCA1_MOUSE	Collagen alpha-1(XII) chain	Col12a1	Mus musculus (Mouse)	3120
DX39A_MOUSE	Q8VDW0	DX39A_MOUSE	ATP-dependent RNA helicase DDX39A (EC 3.6.4.13) (DEAD box protein 39)	Ddx39a Ddx39	Mus musculus (Mouse)	427
ECHA_MOUSE	Q8BMS1	ECHA_MOUSE	Trifunctional enzyme subunit alpha, mitochondrial (Monolysocardiolipin acyltransferase) (EC 2.3.1.-) (TP-alpha) [Includes: Long-chain enoyl-CoA hydratase (EC 4.2.1.17); Long chain 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.211)]	Hadha	Mus musculus (Mouse)	763
MATR3_MOUSE	Q8K310	MATR3_MOUSE	Matrin-3	Matr3	Mus musculus (Mouse)	846
MCM3_MOUSE	P25206	MCM3_MOUSE	DNA replication licensing factor MCM3 (EC 3.6.4.12) (DNA polymerase alpha holoenzyme-associated protein P1) (P1-MCM3)	Mcm3 Mcmd Mcmd3	Mus musculus (Mouse)	812
MYO1C_MOUSE	Q9WTI7	MYO1C_MOUSE	Unconventional myosin-Ic (Myosin I beta) (MMI-beta) (MMIb)	Myo1c	Mus musculus (Mouse)	1063
NB5R3_MOUSE	Q9DCN2	NB5R3_MOUSE	NADH-cytochrome b5 reductase 3 (B5R) (Cytochrome b5 reductase) (EC 1.6.2.2) (Diaphorase-1)	Cyb5r3 Dia1	Mus musculus (Mouse)	301
RCC2_MOUSE	Q8BK67	RCC2_MOUSE	Protein RCC2	Rcc2 Kiaa1470	Mus musculus (Mouse)	520
RL6_MOUSE	P47911	RL6_MOUSE	Large ribosomal subunit protein eL6 (60S ribosomal protein L6) (TAX-responsive enhancer element-binding protein 107) (TAXREB107)	Rpl6	Mus musculus (Mouse)	296
RPN2_MOUSE	Q9DBG6	RPN2_MOUSE	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 (Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 63 kDa subunit) (Ribophorin II) (RPN-II) (Ribophorin-2)	Rpn2	Mus musculus (Mouse)	631
SET_MOUSE	Q9EQU5	SET_MOUSE	Protein SET (Phosphatase 2A inhibitor I2PP2A) (I-2PP2A) (Template-activating factor I) (TAF-I)	Set	Mus musculus (Mouse)	289
SF3B3_MOUSE	Q921M3	SF3B3_MOUSE	Splicing factor 3B subunit 3 (Pre-mRNA-splicing factor SF3b 130 kDa subunit) (SF3b130) (Spliceosome-associated protein 130) (SAP 130)	Sf3b3 Kiaa0017	Mus musculus (Mouse)	1217
SYIC_MOUSE	Q8BU30	SYIC_MOUSE	Isoleucine--tRNA ligase, cytoplasmic (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IRS) (IleRS)	Iars1 Iars	Mus musculus (Mouse)	1262
TCPD_MOUSE	P80315	TCPD_MOUSE	T-complex protein 1 subunit delta (TCP-1-delta) (A45) (CCT-delta)	Cct4 Cctd	Mus musculus (Mouse)	539
TIF1B_MOUSE	Q62318	TIF1B_MOUSE	Transcription intermediary factor 1-beta (TIF1-beta) (E3 SUMO-protein ligase TRIM28) (EC 2.3.2.27) (KRAB-A-interacting protein) (KRIP-1) (RING-type E3 ubiquitin transferase TIF1-beta) (Tripartite motif-containing protein 28)	Trim28 Kap1 Krip1 Tif1b	Mus musculus (Mouse)	834
2AAA_MOUSE	Q76MZ3	2AAA_MOUSE	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform (PP2A subunit A isoform PR65-alpha) (PP2A subunit A isoform R1-alpha)	Ppp2r1a	Mus musculus (Mouse)	589
FSCN1_MOUSE	Q61553	FSCN1_MOUSE	Fascin (Singed-like protein)	Fscn1 Fan1 Snl	Mus musculus (Mouse)	493
G6PD1_MOUSE	Q00612	G6PD1_MOUSE	Glucose-6-phosphate 1-dehydrogenase X (G6PD) (EC 1.1.1.49)	G6pdx G6pd G6pd-1	Mus musculus (Mouse)	515
HNRH1_MOUSE	O35737	HNRH1_MOUSE	Heterogeneous nuclear ribonucleoprotein H (hnRNP H) [Cleaved into: Heterogeneous nuclear ribonucleoprotein H, N-terminally processed]	Hnrnph1 Hnrph Hnrph1	Mus musculus (Mouse)	449
IDHP_MOUSE	P54071	IDHP_MOUSE	Isocitrate dehydrogenase [NADP], mitochondrial (IDH) (EC 1.1.1.42) (ICD-M) (IDP) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)	Idh2	Mus musculus (Mouse)	452
IMB1_MOUSE	P70168	IMB1_MOUSE	Importin subunit beta-1 (Karyopherin subunit beta-1) (Nuclear factor p97) (Pore targeting complex 97 kDa subunit) (PTAC97) (SCG)	Kpnb1 Impnb	Mus musculus (Mouse)	876
ODO1_MOUSE	Q60597	ODO1_MOUSE	2-oxoglutarate dehydrogenase complex component E1 (E1o) (OGDC-E1) (OGDH-E1) (EC 1.2.4.2) (2-oxoglutarate dehydrogenase, mitochondrial) (Alpha-ketoglutarate dehydrogenase) (Alpha-KGDH-E1) (Thiamine diphosphate (ThDP)-dependent 2-oxoglutarate dehydrogenase)	Ogdh Kiaa4192	Mus musculus (Mouse)	1023
PSMD2_MOUSE	Q8VDM4	PSMD2_MOUSE	26S proteasome non-ATPase regulatory subunit 2 (26S proteasome regulatory subunit RPN1) (26S proteasome regulatory subunit S2) (26S proteasome subunit p97)	Psmd2	Mus musculus (Mouse)	908
PTN6_MOUSE	P29351	PTN6_MOUSE	Tyrosine-protein phosphatase non-receptor type 6 (EC 3.1.3.48) (70Z-SHP) (Hematopoietic cell protein-tyrosine phosphatase) (PTPTY-42) (Protein-tyrosine phosphatase 1C) (PTP-1C) (SH-PTP1) (SHP-1)	Ptpn6 Hcp Hcph Ptp1C	Mus musculus (Mouse)	595
RINI_MOUSE	Q91VI7	RINI_MOUSE	Ribonuclease inhibitor (Ribonuclease/angiogenin inhibitor 1)	Rnh1 Rnh	Mus musculus (Mouse)	456
RLA0_MOUSE	P14869	RLA0_MOUSE	Large ribosomal subunit protein uL10 (60S acidic ribosomal protein P0) (60S ribosomal protein L10E)	Rplp0 Arbp	Mus musculus (Mouse)	317
RS8_MOUSE	P62242	RS8_MOUSE	Small ribosomal subunit protein eS8 (40S ribosomal protein S8)	Rps8	Mus musculus (Mouse)	208
SYDC_MOUSE	Q922B2	SYDC_MOUSE	Aspartate--tRNA ligase, cytoplasmic (EC 6.1.1.12) (Aspartyl-tRNA synthetase) (AspRS)	Dars1 Dars	Mus musculus (Mouse)	501
TCPA_MOUSE	P11983	TCPA_MOUSE	T-complex protein 1 subunit alpha (TCP-1-alpha) (CCT-alpha) (Tailless complex polypeptide 1A) (TCP-1-A) (Tailless complex polypeptide 1B) (TCP-1-B)	Tcp1 Cct1 Ccta	Mus musculus (Mouse)	556
UGGG1_MOUSE	Q6P5E4	UGGG1_MOUSE	UDP-glucose:glycoprotein glucosyltransferase 1 (UGT1) (EC 2.4.1.-) (UDP--Glc:glycoprotein glucosyltransferase) (UDP-glucose ceramide glucosyltransferase-like 1)	Uggt1 Gt Ugcgl1 Uggt Ugt1 Ugtr	Mus musculus (Mouse)	1551
AP1B1_MOUSE	O35643	AP1B1_MOUSE	AP-1 complex subunit beta-1 (Adaptor protein complex AP-1 subunit beta-1) (Adaptor-related protein complex 1 subunit beta-1) (Beta-1-adaptin) (Beta-adaptin 1) (Clathrin assembly protein complex 1 beta large chain) (Golgi adaptor HA1/AP1 adaptin beta subunit)	Ap1b1 Adtb1	Mus musculus (Mouse)	943
CAP1_MOUSE	P40124	CAP1_MOUSE	Adenylyl cyclase-associated protein 1 (CAP 1)	Cap1 Cap	Mus musculus (Mouse)	474
DDX17_MOUSE	Q501J6	DDX17_MOUSE	Probable ATP-dependent RNA helicase DDX17 (EC 3.6.4.13) (DEAD box protein 17)	Ddx17	Mus musculus (Mouse)	650
DDX3L_MOUSE	P16381	DDX3L_MOUSE	Putative ATP-dependent RNA helicase Pl10 (EC 3.6.4.13)	D1Pas1 Pl10	Mus musculus (Mouse)	660
DHE3_MOUSE	P26443	DHE3_MOUSE	Glutamate dehydrogenase 1, mitochondrial (GDH 1) (EC 1.4.1.3)	Glud1 Glud	Mus musculus (Mouse)	558
FUBP2_MOUSE	Q3U0V1	FUBP2_MOUSE	Far upstream element-binding protein 2 (FUSE-binding protein 2) (KH type-splicing regulatory protein) (KSRP)	Khsrp Fubp2	Mus musculus (Mouse)	748
MCM6_MOUSE	P97311	MCM6_MOUSE	DNA replication licensing factor MCM6 (EC 3.6.4.12) (Mis5 homolog)	Mcm6 Mcmd6 Mis5	Mus musculus (Mouse)	821
MOES_MOUSE	P26041	MOES_MOUSE	Moesin (Membrane-organizing extension spike protein)	Msn	Mus musculus (Mouse)	577
NPM_MOUSE	Q61937	NPM_MOUSE	Nucleophosmin (NPM) (Nucleolar phosphoprotein B23) (Nucleolar protein NO38) (Numatrin)	Npm1	Mus musculus (Mouse)	292
RS3_MOUSE	P62908	RS3_MOUSE	Small ribosomal subunit protein uS3 (EC 4.2.99.18) (40S ribosomal protein S3)	Rps3	Mus musculus (Mouse)	243
RSSA_MOUSE	P14206	RSSA_MOUSE	Small ribosomal subunit protein uS2 (37 kDa laminin receptor precursor) (37LRP) (37 kDa oncofetal antigen) (37/67 kDa laminin receptor) (LRP/LR) (40S ribosomal protein SA) (67 kDa laminin receptor) (67LR) (Laminin receptor 1) (LamR) (Laminin-binding protein precursor p40) (LBP/p40) (OFA/iLRP)	Rpsa Lamr1 P40-8	Mus musculus (Mouse)	295
SAP_MOUSE	Q61207	SAP_MOUSE	Prosaposin (Sulfated glycoprotein 1) (SGP-1) [Cleaved into: Saposin-A; Saposin-B-Val; Saposin-B; Saposin-C; Saposin-D]	Psap Sgp1	Mus musculus (Mouse)	557
SYLC_MOUSE	Q8BMJ2	SYLC_MOUSE	Leucine--tRNA ligase, cytoplasmic (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS)	Lars1 Lars	Mus musculus (Mouse)	1178
SYRC_MOUSE	Q9D0I9	SYRC_MOUSE	Arginine--tRNA ligase, cytoplasmic (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)	Rars1 Rars	Mus musculus (Mouse)	660
SYSC_MOUSE	P26638	SYSC_MOUSE	Serine--tRNA ligase, cytoplasmic (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)	Sars1 Sars Sers	Mus musculus (Mouse)	512
TPM1_MOUSE	P58771	TPM1_MOUSE	Tropomyosin alpha-1 chain (Alpha-tropomyosin) (Tropomyosin-1)	Tpm1 Tpm-1 Tpma	Mus musculus (Mouse)	284
U520_MOUSE	Q6P4T2	U520_MOUSE	U5 small nuclear ribonucleoprotein 200 kDa helicase (EC 3.6.4.13) (BRR2 homolog) (U5 snRNP-specific 200 kDa protein) (U5-200KD)	Snrnp200 Kiaa0788	Mus musculus (Mouse)	2136
XPO2_MOUSE	Q9ERK4	XPO2_MOUSE	Exportin-2 (Exp2) (Chromosome segregation 1-like protein) (Importin-alpha re-exporter)	Cse1l Xpo2	Mus musculus (Mouse)	971
ACADV_MOUSE	P50544	ACADV_MOUSE	Very long-chain specific acyl-CoA dehydrogenase, mitochondrial (EC 1.3.8.9) (MVLCAD) (VLCAD)	Acadvl Vlcad	Mus musculus (Mouse)	656
CISY_MOUSE	Q9CZU6	CISY_MOUSE	Citrate synthase, mitochondrial (EC 2.3.3.1) (Citrate (Si)-synthase)	Cs	Mus musculus (Mouse)	464
COR1A_MOUSE	O89053	COR1A_MOUSE	Coronin-1A (Coronin-like protein A) (Clipin-A) (Coronin-like protein p57) (Tryptophan aspartate-containing coat protein) (TACO)	Coro1a Coro1	Mus musculus (Mouse)	461
DDB1_MOUSE	Q3U1J4	DDB1_MOUSE	DNA damage-binding protein 1 (DDB p127 subunit) (Damage-specific DNA-binding protein 1) (UV-damaged DNA-binding factor)	Ddb1	Mus musculus (Mouse)	1140
E41L2_MOUSE	O70318	E41L2_MOUSE	Band 4.1-like protein 2 (Erythrocyte membrane protein band 4.1-like 2) (Generally expressed protein 4.1) (4.1G)	Epb41l2 Epb4.1l2	Mus musculus (Mouse)	988
H4_MOUSE	P62806	H4_MOUSE	Histone H4	H4c1 Hist1h4a; H4c2 H4-53 Hist1h4b; H4c3 H4-12 Hist1h4c; H4c4 Hist1h4d; H4c6 Hist1h4f; H4c8 Hist1h4h; H4c9 Hist1h4i; H4c11 Hist1h4j; H4c12 Hist1h4k; Hist1h4m; H4c14 Hist2h4 Hist2h4a; H4c16 H4f16 Hist4h4	Mus musculus (Mouse)	103
HNRPQ_MOUSE	Q7TMK9	HNRPQ_MOUSE	Heterogeneous nuclear ribonucleoprotein Q (hnRNP Q) (Glycine- and tyrosine-rich RNA-binding protein) (GRY-RBP) (NS1-associated protein 1) (Synaptotagmin-binding, cytoplasmic RNA-interacting protein) (pp68)	Syncrip Hnrpq Nsap1 Nsap1l	Mus musculus (Mouse)	623
IF4A1_MOUSE	P60843	IF4A1_MOUSE	Eukaryotic initiation factor 4A-I (eIF-4A-I) (eIF4A-I) (EC 3.6.4.13) (ATP-dependent RNA helicase eIF4A-1)	Eif4a1 Ddx2a Eif4a	Mus musculus (Mouse)	406
IF4B_MOUSE	Q8BGD9	IF4B_MOUSE	Eukaryotic translation initiation factor 4B (eIF-4B)	Eif4b	Mus musculus (Mouse)	611
K1C10_MOUSE	P02535	K1C10_MOUSE	Keratin, type I cytoskeletal 10 (56 kDa cytokeratin) (Cytokeratin-10) (CK-10) (Keratin, type I cytoskeletal 59 kDa) (Keratin-10) (K10)	Krt10 Krt1-10	Mus musculus (Mouse)	570
K22E_MOUSE	Q3TTY5	K22E_MOUSE	Keratin, type II cytoskeletal 2 epidermal (Cytokeratin-2e) (CK-2e) (Epithelial keratin-2e) (Keratin-2 epidermis) (Keratin-2e) (K2e) (Type-II keratin Kb2)	Krt2 K2e Krt2-17 Krt2a	Mus musculus (Mouse)	707
LONM_MOUSE	Q8CGK3	LONM_MOUSE	Lon protease homolog, mitochondrial (EC 3.4.21.53) (Lon protease-like protein) (LONP) (Mitochondrial ATP-dependent protease Lon) (Serine protease 15)	Lonp1 Prss15	Mus musculus (Mouse)	949
MCM7_MOUSE	Q61881	MCM7_MOUSE	DNA replication licensing factor MCM7 (EC 3.6.4.12) (CDC47 homolog)	Mcm7 Cdc47 Mcmd7	Mus musculus (Mouse)	719
MIF_MOUSE	P34884	MIF_MOUSE	Macrophage migration inhibitory factor (MIF) (EC 5.3.2.1) (Delayed early response protein 6) (DER6) (Glycosylation-inhibiting factor) (GIF) (L-dopachrome isomerase) (L-dopachrome tautomerase) (EC 5.3.3.12) (Phenylpyruvate tautomerase)	Mif	Mus musculus (Mouse)	115
PCKGM_MOUSE	Q8BH04	PCKGM_MOUSE	Phosphoenolpyruvate carboxykinase [GTP], mitochondrial (PEPCK-M) (EC 4.1.1.32)	Pck2	Mus musculus (Mouse)	640
PDIA6_MOUSE	Q922R8	PDIA6_MOUSE	Protein disulfide-isomerase A6 (EC 5.3.4.1) (Thioredoxin domain-containing protein 7)	Pdia6 Txndc7	Mus musculus (Mouse)	440
PLXB2_MOUSE	B2RXS4	PLXB2_MOUSE	Plexin-B2	Plxnb2	Mus musculus (Mouse)	1842
RL3_MOUSE	P27659	RL3_MOUSE	Large ribosomal subunit protein uL3 (60S ribosomal protein L3) (J1 protein)	Rpl3	Mus musculus (Mouse)	403
RL5_MOUSE	P47962	RL5_MOUSE	Large ribosomal subunit protein uL18 (60S ribosomal protein L5)	Rpl5	Mus musculus (Mouse)	297
RL7_MOUSE	P14148	RL7_MOUSE	Large ribosomal subunit protein uL30 (60S ribosomal protein L7)	Rpl7	Mus musculus (Mouse)	270
RS2_MOUSE	P25444	RS2_MOUSE	Small ribosomal subunit protein uS5 (40S ribosomal protein S2) (40S ribosomal protein S4) (Protein LLRep3)	Rps2 Llrep3 Rps4	Mus musculus (Mouse)	293
STT3A_MOUSE	P46978	STT3A_MOUSE	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A (Oligosaccharyl transferase subunit STT3A) (STT3-A) (EC 2.4.99.18) (B5) (Integral membrane protein 1)	Stt3a Itm1	Mus musculus (Mouse)	705
SYK_MOUSE	Q99MN1	SYK_MOUSE	Lysine--tRNA ligase (EC 2.7.7.-) (EC 6.1.1.6) (Lysyl-tRNA synthetase) (LysRS)	Kars1 Kars	Mus musculus (Mouse)	595
TRAP1_MOUSE	Q9CQN1	TRAP1_MOUSE	Heat shock protein 75 kDa, mitochondrial (HSP 75) (TNFR-associated protein 1) (Tumor necrosis factor type 1 receptor-associated protein) (TRAP-1)	Trap1 Hsp75	Mus musculus (Mouse)	706
VDAC2_MOUSE	Q60930	VDAC2_MOUSE	Voltage-dependent anion-selective channel protein 2 (VDAC-2) (mVDAC2) (Outer mitochondrial membrane protein porin 2) (Voltage-dependent anion-selective channel protein 6) (VDAC-6) (mVDAC6)	Vdac2 Vdac6	Mus musculus (Mouse)	295
6PGD_MOUSE	Q9DCD0	6PGD_MOUSE	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	Pgd	Mus musculus (Mouse)	483
CAPG_MOUSE	P24452	CAPG_MOUSE	Macrophage-capping protein (Actin regulatory protein CAP-G) (Actin-capping protein GCAP39) (Myc basic motif homolog 1)	Capg Mbh1	Mus musculus (Mouse)	352
CTND1_MOUSE	P30999	CTND1_MOUSE	Catenin delta-1 (Cadherin-associated Src substrate) (CAS) (p120 catenin) (p120(ctn)) (p120(cas))	Ctnnd1 Catns Kiaa0384	Mus musculus (Mouse)	938
ETFA_MOUSE	Q99LC5	ETFA_MOUSE	Electron transfer flavoprotein subunit alpha, mitochondrial (Alpha-ETF)	Etfa	Mus musculus (Mouse)	333
GSLG1_MOUSE	Q61543	GSLG1_MOUSE	Golgi apparatus protein 1 (E-selectin ligand 1) (ESL-1) (Selel) (Golgi sialoglycoprotein MG-160)	Glg1 Esl1 Mg160 Selel	Mus musculus (Mouse)	1175
HNRPM_MOUSE	Q9D0E1	HNRPM_MOUSE	Heterogeneous nuclear ribonucleoprotein M (hnRNP M)	Hnrnpm Hnrpm	Mus musculus (Mouse)	729
HSP72_MOUSE	P17156	HSP72_MOUSE	Heat shock-related 70 kDa protein 2 (Heat shock protein 70.2)	Hspa2 Hcp70.2 Hsp70-2	Mus musculus (Mouse)	633
LIMA1_MOUSE	Q9ERG0	LIMA1_MOUSE	LIM domain and actin-binding protein 1 (Epithelial protein lost in neoplasm) (mEPLIN)	Lima1 D15Ertd366e Eplin	Mus musculus (Mouse)	753
MCM4_MOUSE	P49717	MCM4_MOUSE	DNA replication licensing factor MCM4 (EC 3.6.4.12) (CDC21 homolog) (P1-CDC21)	Mcm4 Cdc21 Mcmd4	Mus musculus (Mouse)	862
NSF_MOUSE	P46460	NSF_MOUSE	Vesicle-fusing ATPase (EC 3.6.4.6) (N-ethylmaleimide-sensitive fusion protein) (NEM-sensitive fusion protein) (Suppressor of K(+) transport growth defect 2) (Protein SKD2) (Vesicular-fusion protein NSF)	Nsf Skd2	Mus musculus (Mouse)	744
OAT_MOUSE	P29758	OAT_MOUSE	Ornithine aminotransferase, mitochondrial (EC 2.6.1.13) (Ornithine--oxo-acid aminotransferase)	Oat	Mus musculus (Mouse)	439
RBM14_MOUSE	Q8C2Q3	RBM14_MOUSE	RNA-binding protein 14 (RNA-binding motif protein 14)	Rbm14	Mus musculus (Mouse)	669
RL9_MOUSE	P51410	RL9_MOUSE	Large ribosomal subunit protein uL6 (60S ribosomal protein L9)	Rpl9	Mus musculus (Mouse)	192
RS4X_MOUSE	P62702	RS4X_MOUSE	Small ribosomal subunit protein eS4 (40S ribosomal protein S4, X isoform)	Rps4x Rps4	Mus musculus (Mouse)	263
SF3B1_MOUSE	Q99NB9	SF3B1_MOUSE	Splicing factor 3B subunit 1 (Pre-mRNA-splicing factor SF3b 155 kDa subunit) (SF3b155) (Spliceosome-associated protein 155) (SAP 155)	Sf3b1 Sap155	Mus musculus (Mouse)	1304
TALDO_MOUSE	Q93092	TALDO_MOUSE	Transaldolase (EC 2.2.1.2)	Taldo1 Tal Taldo	Mus musculus (Mouse)	337
TCPE_MOUSE	P80316	TCPE_MOUSE	T-complex protein 1 subunit epsilon (TCP-1-epsilon) (CCT-epsilon)	Cct5 Ccte Kiaa0098	Mus musculus (Mouse)	541
TPR_MOUSE	F6ZDS4	TPR_MOUSE	Nucleoprotein TPR (NPC-associated intranuclear protein) (Translocated promoter region and nuclear basket protein)	Tpr	Mus musculus (Mouse)	2431
TXND5_MOUSE	Q91W90	TXND5_MOUSE	Thioredoxin domain-containing protein 5 (EC 1.8.4.-) (EC 5.3.4.1) (Endoplasmic reticulum resident protein 46) (ER protein 46) (ERp46) (Plasma cell-specific thioredoxin-related protein) (PC-TRP) (Thioredoxin-like protein p46)	Txndc5 Tlp46	Mus musculus (Mouse)	417
U5S1_MOUSE	O08810	U5S1_MOUSE	116 kDa U5 small nuclear ribonucleoprotein component (Elongation factor Tu GTP-binding domain-containing protein 2) (U5 snRNP-specific protein, 116 kDa) (U5-116 kDa)	Eftud2 Snrp116	Mus musculus (Mouse)	971
VPS35_MOUSE	Q9EQH3	VPS35_MOUSE	Vacuolar protein sorting-associated protein 35 (Maternal-embryonic 3) (Vesicle protein sorting 35)	Vps35 Mem3	Mus musculus (Mouse)	796
ACTBL_MOUSE	Q8BFZ3	ACTBL_MOUSE	Beta-actin-like protein 2 (Kappa-actin)	Actbl2	Mus musculus (Mouse)	376
AL1L2_MOUSE	Q8K009	AL1L2_MOUSE	Mitochondrial 10-formyltetrahydrofolate dehydrogenase (Mitochondrial 10-FTHFDH) (mtFDH) (EC 1.5.1.6) (Aldehyde dehydrogenase family 1 member L2)	Aldh1l2	Mus musculus (Mouse)	923
CATD_MOUSE	P18242	CATD_MOUSE	Cathepsin D (EC 3.4.23.5)	Ctsd	Mus musculus (Mouse)	410
CLIC1_MOUSE	Q9Z1Q5	CLIC1_MOUSE	Chloride intracellular channel protein 1 (Nuclear chloride ion channel 27) (NCC27)	Clic1	Mus musculus (Mouse)	241
COPD_MOUSE	Q5XJY5	COPD_MOUSE	Coatomer subunit delta (Archain) (Delta-coat protein) (Delta-COP)	Arcn1 Copd	Mus musculus (Mouse)	511
COR1C_MOUSE	Q9WUM4	COR1C_MOUSE	Coronin-1C (Coronin-3)	Coro1c	Mus musculus (Mouse)	474
EF1B_MOUSE	O70251	EF1B_MOUSE	Elongation factor 1-beta (EF-1-beta)	Eef1b Eef1b2	Mus musculus (Mouse)	225
EIF3L_MOUSE	Q8QZY1	EIF3L_MOUSE	Eukaryotic translation initiation factor 3 subunit L (eIF3l) (66 kDa tyrosine-rich heat shock protein) (67 kDa polymerase-associated factor) (Eukaryotic translation initiation factor 3 subunit 6-interacting protein) (Eukaryotic translation initiation factor 3 subunit E-interacting protein) (HSP-66Y) (PAF67)	Eif3l Eif3eip Eif3s6ip Paf67	Mus musculus (Mouse)	564
ESTD_MOUSE	Q9R0P3	ESTD_MOUSE	S-formylglutathione hydrolase (FGH) (EC 3.1.2.12) (Esterase 10) (Esterase D) (Sid 478)	Esd Es10 Sid478	Mus musculus (Mouse)	282
FKBP4_MOUSE	P30416	FKBP4_MOUSE	Peptidyl-prolyl cis-trans isomerase FKBP4 (PPIase FKBP4) (EC 5.2.1.8) (52 kDa FK506-binding protein) (52 kDa FKBP) (FKBP-52) (59 kDa immunophilin) (p59) (FK506-binding protein 4) (FKBP-4) (FKBP59) (HSP-binding immunophilin) (HBI) (Immunophilin FKBP52) (Rotamase) [Cleaved into: Peptidyl-prolyl cis-trans isomerase FKBP4, N-terminally processed]	Fkbp4 Fkpb52	Mus musculus (Mouse)	458
GARS_MOUSE	Q9CZD3	GARS_MOUSE	Glycine--tRNA ligase (EC 6.1.1.14) (Diadenosine tetraphosphate synthetase) (Ap4A synthetase) (EC 2.7.7.-) (Glycyl-tRNA synthetase 1) (GlyRS)	Gars1 Gars	Mus musculus (Mouse)	729
GDIB_MOUSE	Q61598	GDIB_MOUSE	Rab GDP dissociation inhibitor beta (Rab GDI beta) (GDI-3) (Guanosine diphosphate dissociation inhibitor 2) (GDI-2)	Gdi2 Gdi3	Mus musculus (Mouse)	445
HNRL2_MOUSE	Q00PI9	HNRL2_MOUSE	Heterogeneous nuclear ribonucleoprotein U-like protein 2 (MLF1-associated nuclear protein)	Hnrnpul2 Hnrpul2 Manp	Mus musculus (Mouse)	745
HS71A_MOUSE	Q61696	HS71A_MOUSE	Heat shock 70 kDa protein 1A (Heat shock 70 kDa protein 3) (HSP70.3) (Hsp68)	Hspa1a Hsp70-3 Hsp70A1	Mus musculus (Mouse)	641
IF2G_MOUSE	Q9Z0N1	IF2G_MOUSE	Eukaryotic translation initiation factor 2 subunit 3, X-linked (EC 3.6.5.3) (Eukaryotic translation initiation factor 2 subunit gamma, X-linked) (eIF2-gamma X)	Eif2s3x	Mus musculus (Mouse)	472
K1C14_MOUSE	Q61781	K1C14_MOUSE	Keratin, type I cytoskeletal 14 (Cytokeratin-14) (CK-14) (Keratin-14) (K14)	Krt14 Krt1-14	Mus musculus (Mouse)	484
K2C6A_MOUSE	P50446	K2C6A_MOUSE	Keratin, type II cytoskeletal 6A (Cytokeratin-6A) (CK-6A) (Keratin-6-alpha) (mK6-alpha) (Keratin-6A) (K6A)	Krt6a Ker2 Krt2-6 Krt2-6a Krt6	Mus musculus (Mouse)	553
LA_MOUSE	P32067	LA_MOUSE	Lupus La protein homolog (La autoantigen homolog) (La ribonucleoprotein)	Ssb Ss-b	Mus musculus (Mouse)	415
